Time,Voltaje_ent,Voltaje_cap
0,4.6,0.08
0.016,4.6,0.16
0.032,4.6,0.16
0.048,4.6,0.24
0.064,4.6,0.24
0.08,4.6,0.32
0.096,4.6,0.4
0.112,4.6,0.4
0.128,4.6,0.48
0.144,4.6,0.48
0.16,4.6,0.56
0.176,4.6,0.56
0.192,4.6,0.64
0.208,4.6,0.64
0.224,4.6,0.72
0.24,4.6,0.72
0.256,4.6,0.8
0.272,4.6,0.8
0.288,4.6,0.88
0.304,4.6,0.88
0.32,4.6,0.96
0.336,4.6,0.96
0.352,4.6,1.04
0.368,4.6,1.04
0.384,4.6,1.12
0.4,4.6,1.2
0.416,4.6,1.2
0.432,4.6,1.2
0.448,4.6,1.28
0.464,4.6,1.28
0.48,4.6,1.28
0.496,4.6,1.28
0.512,4.6,1.36
0.528,4.6,1.44
0.544,4.6,1.44
0.56,4.6,1.52
0.576,4.6,1.52
0.592,4.6,1.52
0.608,4.6,1.6
0.624,4.6,1.6
0.64,4.6,1.6
0.656,4.6,1.68
0.672,4.6,1.68
0.688,4.6,1.68
0.704,4.6,1.76
0.72,4.6,1.76
0.736,4.6,1.84
0.752,4.6,1.84
0.768,4.6,1.84
0.784,4.6,1.92
0.8,4.6,1.92
0.816,4.6,1.92
0.832,4.6,1.92
0.848,4.6,2
0.864,4.6,2
0.88,4.6,2.08
0.896,4.6,2.08
0.912,4.6,2.08
0.928,4.6,2.16
0.944,4.6,2.16
0.96,4.6,2.16
0.976,4.6,2.24
0.992,4.6,2.24
1.008,4.6,2.24
1.024,4.6,2.24
1.04,4.6,2.32
1.056,4.6,2.32
1.072,4.6,2.32
1.088,4.6,2.32
1.104,4.6,2.4
1.12,4.6,2.4
1.136,4.6,2.4
1.152,4.6,2.48
1.168,4.6,2.4
1.184,4.6,2.48
1.2,4.6,2.48
1.216,4.6,2.48
1.232,4.6,2.56
1.248,4.6,2.56
1.264,4.6,2.56
1.28,4.6,2.64
1.296,4.6,2.64
1.312,4.6,2.64
1.328,4.6,2.64
1.344,4.6,2.64
1.36,4.6,2.72
1.376,4.6,2.72
1.392,4.6,2.72
1.408,4.6,2.8
1.424,4.6,2.8
1.44,4.6,2.8
1.456,4.6,2.8
1.472,4.6,2.8
1.488,4.6,2.88
1.504,4.6,2.88
1.52,4.6,2.88
1.536,4.6,2.88
1.552,4.6,2.96
1.568,4.6,2.96
1.584,4.6,2.96
1.6,4.6,2.96
1.616,4.6,2.96
1.632,4.6,2.96
1.648,4.6,3.04
1.664,4.6,3.04
1.68,4.6,3.04
1.696,4.6,3.04
1.712,4.6,3.12
1.728,4.6,3.12
1.744,4.6,3.12
1.76,4.6,3.12
1.776,4.6,3.12
1.792,4.6,3.12
1.808,4.6,3.2
1.824,4.6,3.2
1.84,4.6,3.2
1.856,4.6,3.2
1.872,4.6,3.2
1.888,4.6,3.2
1.904,4.6,3.28
1.92,4.6,3.28
1.936,4.6,3.28
1.952,4.6,3.28
1.968,4.6,3.36
1.984,4.6,3.36
2,4.6,3.36
2.016,4.6,3.36
2.032,4.6,3.36
2.048,4.6,3.36
2.064,4.6,3.36
2.08,4.6,3.44
2.096,4.6,3.36
2.112,4.6,3.44
2.128,4.6,3.44
2.144,4.6,3.36
2.16,4.6,3.44
2.176,4.6,3.44
2.192,4.6,3.44
2.208,4.6,3.44
2.224,4.6,3.44
2.24,4.6,3.52
